[May 31 09:36:39] 
[May 31 09:36:39] ==DUPLICATOR INSTALLER BOOTSTRAP v1.4.5==
[May 31 09:36:39] Success: dup-installer/classes/host/interface.host.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/host/class.wpengine.host.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/host/class.custom.host.manager.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/host/class.flywheel.host.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/host/class.godaddy.host.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/classes/class.package.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/android-chrome-192x192.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/apple-touch-icon.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/browserconfig.xml >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/mstile-150x150.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/favicon.ico >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/site.webmanifest >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/favicon-32x32.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/android-chrome-384x384.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/favicon/favicon-16x16.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/css/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/css/all.min.css >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/webfonts/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff2 >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff2 >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff2 >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-icons_2e83ff_256x240.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-bg_glass_95_fef1ec_1x400.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-icons_cd0a0a_256x240.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-icons_888888_256x240.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-bg_glass_75_e6e6e6_1x400.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-bg_glass_65_ffffff_1x400.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-bg_highlight-soft_75_cccccc_1x100.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-bg_glass_75_dadada_1x400.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-icons_454545_256x240.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-bg_glass_55_fbf9ee_1x400.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/images/ui-icons_222222_256x240.png >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/inc.libs.js >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/inc.libs.css.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/inc.js.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/assets/inc.css.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/ctrl.s2.dbtest.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/classes/class.ctrl.extraction.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/ctrl.s3.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/ctrl.s2.dbinstall.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/ctrl.base.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/ctrl.s2.base.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/ctrls/ctrl.s1.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/dup-archive__[HASH].txt >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/wordpress.core.files.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/snaplib.all.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.orig.files.manager.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.jsonSerializable.abstract.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/index.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.io.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.db.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.ui.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.os.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.stream.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.exceptions.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.string.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.net.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.util.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.logger.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.wp.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.url.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/snaplib/class.snaplib.u.json.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/config/class.wp.config.tranformer.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Success: dup-installer/lib/config/class.wp.config.tranformer.src.php >>> /var/www/html/wordpress_projects/pcv-final
[May 31 09:36:39] Successfully closed archive file
[May 31 09:36:39] Successfully extracted with ZipArchive
[May 31 09:36:39] No need to create dup-installer/.htaccess or dup-installer/.user.ini
[May 31 09:36:39] ERROR:  SAPI: Unrecognized
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/assets<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/classes<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/ctrls<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/favicon<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/lib<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/views<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/dup-archive__[HASH].txt<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/dup-database__[HASH].sql<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/dup-scan__[HASH].json<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/index.php<br/>
[May 31 09:36:39] Set permissions of /var/www/html/wordpress_projects/pcv-final/dup-installer/main.installer.php<br/>
[May 31 09:36:39] DONE: No detected errors so redirecting to the main installer. Main Installer URI = http://192.168.24.159/wordpress_projects/pcv-final/dup-installer/main.installer.php
